"Subnational unit (province, state)",2000,2005,2010,2015,2020,2025
Anhui,0.0,0.0,0.0,0.0,120.0,21.167
Beijing,845.0,0.0,1970.0,5820.0,1492.0,263.177
Chongqing,0.0,0.0,0.0,940.0,0.0,0.0
Guangdong,250.0,2460.0,3186.0,3440.0,11997.52,2116.265
Guangxi,0.0,0.0,0.0,120.0,285.0,50.272
Hebei,0.0,0.0,0.0,0.0,906.0,159.811
Henan,0.0,0.0,0.0,0.0,1800.0,317.505
Hubei,0.0,123.0,185.0,370.0,185.0,32.632
Jiangsu,0.0,1296.0,780.0,3782.0,7548.0,1331.406
Ningxia,0.0,0.0,64.0,800.0,0.0,0.0
Shanghai,0.0,658.0,0.0,980.0,920.0,162.281
Shanxi,0.0,0.0,0.0,1720.0,144.0,25.4
Tianjin,0.0,0.0,0.0,1763.0,1950.0,343.964
Xinjiang,69.0,69.0,111.9,0.0,0.0,0.0
Zhejiang,0.0,0.0,152.5,7349.62,254.6,44.909
