State/Province,2000,2005,2010,2015,2020,2025
Anhui,0,0,0,1488,2043,6324.586
Beijing,0,0,136,50,0,333.156
Chongqing,0,0,49,246,528,1474.125
Fujian,0,16,299,1176,2006,11766.337
Gansu,0,0,1190,9950.500,1661,25198.500
Guangdong,0,100,517.200,1562.100,2528,22788.093
Guangxi,0,0,0,421,4112,8119.329
Guizhou,0,0,0,2606,1914,8096.044
Hainan,0,0,198,50,0,444.208
Hebei,0,0,2724,6853,9270.500,24463.115
Heilongjiang,0,16,1896,3121,1091,10969.065
Henan,0,0,49,945,9424,18660.306
Hubei,0,0,44,1493,3016,8155.152
Hunan,0,0,36,1524,5034,11810.910
InnerMongolia,0,31,7521,14316,11684,51448.000
Jiangsu,0,0,1013,2235,4440,13499.402
Jiangxi,0,0,84,671,3299,7261.363
Jilin,0,0,1911,2521,794,9360.603
Liaoning,21,0,2211,4158,1820,14705.425
Ningxia,0,0,468,6055,4871,20408.479
Qinghai,0,0,0,470,6296,12118.990
Shaanxi,0,0,0,1638,5094,12058.090
Shandong,0,0,1246,6467,9107,6975.495
Shanghai,0,0,15,355,0,662.729
Shanxi,0,0,373,5899,10776.400,11951.600
Sichuan,0,0,0,828,3103,7041.051
Tianjin,0,0,12,309,467,1411.434
Tibet,0,0,0,49.500,0,88.662
Xinjiang,0,0,700,10905,9799,32596.000
Yunnan,0,0,194,4637,3657,15203.367
Zhejiang,0,0,138,844,338,2364.331
